년도,시도,총 인구,남성 인구,여성 인구
2021,세종특별자치시,371895,185678,186217
2021,경기도,13565450,6827298,6738152
2021,강원도,1538492,774332,764160
2021,충청북도,1597427,810672,786755
2021,충청남도,2119257,1083366,1035891
2021,전라북도,1786855,888994,897861
2021,전라남도,1832803,922221,910582
2021,경상북도,2626609,1323661,1302948
2021,경상남도,3314183,1668338,1645845
2021,제주특별자치도,676759,339177,337582
2022,서울특별시,9428372,4570048,4858324
2022,부산광역시,3317812,1619915,1697897
2022,대구광역시,2363691,1162865,1200826
2022,인천광역시,2967314,1485175,1482139
2022,광주광역시,1431050,707299,723751
2022,대전광역시,1446072,721245,724827
2022,울산광역시,1110663,570368,540295
2022,세종특별자치시,383591,191389,192202
2022,경기도,13589432,6839276,6750156
2022,강원도,1536498,772947,763551
2022,충청북도,1595058,810782,784276
2022,충청남도,2123037,1086632,1036405
2022,전라북도,1769607,880592,889015
2022,전라남도,1817697,915272,902425
2022,경상북도,2600492,1311881,1288611
2022,경상남도,3280493,1651675,1628818
2022,제주특별자치도,678159,339590,338569
